id;code_parts;parts_name;part_image_link_pic_360;part_video;part_technical_manual;under_development;inactive;ean;sku
1;invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;false;false;Incredible Fresh Chips;Shoes Music connect
2;Hollow Shoes systems;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;payment Soap;false;true;Solutions COM;Data North Dakota
3;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;false;false;functionalities quantifying;wireless
4;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;true;true;Cotton Robust;user-centric Infrastructure
5;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;false;false;Quality Applications Missouri;Practical Gorgeous
6;knowledge user Danish Krone;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;false;false;Centralized revolutionize International;Sleek
7;Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;false;false;Bedfordshire Tools;Arizona hack
8;Fresh payment synthesize;Versatile seize;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;true;true;Senior Optional Yemeni Rial;Central African Republic
9;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;B2B Mouse;true;false;one-to-one Indiana;holistic
10;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;true;true;Aruba Chair portals;online Strategist Shirt
